44.4968214,26.034214,Afi City,500,100,Yes,No,3S+P+7E+1M,Yes,Yes,7,50,Power Gas Water
44.488246,26.0962738,Pipera Park,1000,0,No,Yes,0,No,No,0,10,Power Gas
44.5329077,26.0944194,Greenfield Residence,10000,5000,Yes,No,P+1E,Yes,Yes,10,40,Power Gas Water
44.43549,26.10308,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43629,26.09689,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43849,26.09011,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44455,26.08831,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44957,26.10941,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4489,26.11525,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44296,26.12856,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43892,26.12822,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43366,26.12532,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42955,26.11723,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44382,26.10109,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44523,26.10229,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44063,26.11199,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43506,26.11259,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4339,26.11279,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43659,26.11551,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4399,26.11851,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44468,26.11929,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44621,26.10461,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44351,26.10581,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44259,26.09525,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44596,26.09542,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44951,26.09679,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45466,26.09362,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.456,26.09095,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45698,26.08924,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45454,26.0822,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.453,26.0913,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44737,26.07112,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45055,26.07576,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45209,26.08014,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44853,26.08606,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44651,26.08331,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44602,26.07885,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44327,26.07361,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44229,26.07292,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43959,26.07224,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43537,26.06897,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.435,26.06314,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43163,26.0646,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43144,26.06511,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42844,26.06872,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42648,26.07129,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42422,26.07662,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42391,26.07996,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42336,26.08812,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42317,26.09138,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4233,26.09799,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42789,26.08975,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42955,26.08297,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43273,26.07207,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43365,26.07756,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43959,26.08074,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43733,26.08151,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43494,26.08314,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43065,26.07756,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42991,26.07455,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43984,26.07576,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43059,26.09997,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43298,26.09533,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44229,26.07415,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.4451,26.07653,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44743,26.06322,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45111,26.06314,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45147,26.05781,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.45019,26.05833,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44559,26.05421,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44615,26.0512,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44486,26.04854,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44295,26.05056,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44344,26.04317,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43915,26.04335,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43915,26.04884,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43462,26.05468,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43388,26.04627,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43572,26.03613,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43572,26.03407,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44197,26.03476,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44368,26.02532,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44368,26.02463,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43352,26.02995,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43315,26.04129,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43278,26.04489,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43241,26.04833,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.43106,26.05399,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42849,26.05622,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42555,26.05571,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42506,26.04987,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42739,26.043,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42751,26.03356,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42678,26.03236,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.42286,26.03253,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.41979,26.03493,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44579,26.06094,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44564,26.0588,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44087,26.05743,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
44.44454,26.06447,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
